record_id,quest1,quest2,quest3,quest4,hap1,hap2,hap3,hap4,hap4R,HapAve,pro1,pro2,pro3,pro3R,pro4,pro4R,pro5,pro6,pro6R,pro7,pro8,pro8R,pro9,pro10,pro11,pro11R,pro12,pro13,pro13R,pro14,pro14R,pro15,pro15R,pro16,pro17,pro18,pro18R,pro19,pro20,pro20R,proave
2,67,84,60,71,5,4,4,5,3,5,4,3,5,1,2,4,1,5,1,3,4,2,3,4,3,3,3,5,1,2,4,3,3,4,2,3,3,3,3,3,2.75
3,86,85,22,68,6,6,7,2,6,6,4,2,3,3,3,3,3,5,1,4,5,1,4,3,4,2,4,3,3,3,3,2,4,3,2,3,3,3,4,2,2.85
4,38,35,29,86,4,,5,4,4,4.666666667,4,4,1,5,2,4,2,4,2,2,3,3,4,4,3,3,4,4,2,4,2,4,2,4,4,2,4,4,2,4,3.35
5,67,100,24,74,5,4,5,4,4,5,4,3,4,2,2,4,2,2,4,4,2,4,4,2,4,2,4,5,1,3,3,2,4,3,4,5,1,3,3,3,3.05
6,74,90,90,38,7,7,6,2,6,5.75,5,3,4,2,3,3,3,3,3,3,3,3,2,3,1,5,2,2,4,4,2,4,2,3,3,4,2,2,5,1,2.8
7,53,98,54,89,5,5,5,5,3,5.25,5,2,4,2,2,4,3,4,2,3,4,2,5,2,4,2,4,4,2,3,3,4,2,3,4,2,4,4,3,3,3.05
8,,72,69,66,5,4,5,4,4,4.75,4,3,4,2,3,3,4,4,2,4,3,3,2,2,,,4,4,2,4,2,4,2,4,4,4,2,1,4,2,2.736842105
9,32,66,91,78,5,3,4,4,4,3.75,3,2,4,2,1,5,4,3,3,4,4,2,4,3,4,2,5,4,2,3,3,4,2,3,3,,6,4,4,2,3.2
10,34,58,35,77,5,4,3,3,5,4,4,4,5,1,1,5,3,2,4,4,2,4,5,4,4,2,4,3,3,1,5,1,5,5,4,2,4,4,2,4,3.9
11,85,99,95,73,5,6,5,4,4,5,4,2,5,1,3,3,1,5,1,1,5,1,2,2,4,2,3,5,1,5,1,5,1,4,1,4,2,2,4,2,1.85
13,75,74,37,99,6,7,5,1,7,5.25,5,4,2,4,5,1,4,2,4,4,2,4,4,4,2,4,5,4,2,2,4,1,5,4,4,2,4,4,2,4,3.9
14,64,63,36,82,4,3,3,4,4,4,4,2,2,4,1,5,4,4,2,3,3,3,4,4,5,1,3,4,2,2,4,2,4,5,4,4,2,1,3,3,3.2
16,69,90,50,51,5,5,4,5,3,4.5,3,4,5,1,2,4,3,5,1,3,4,2,3,3,4,2,2,5,1,4,2,4,2,2,4,4,2,4,3,3,2.55
18,63,86,82,80,5,5,4,2,6,5.25,4,4,2,4,2,4,1,4,2,4,4,2,4,4,4,2,4,4,2,2,4,3,3,4,5,4,2,4,4,2,3.25
19,68,68,63,88,6,5,5,3,5,5.25,4,3,1,5,1,5,1,4,2,3,3,3,4,2,2,4,4,4,2,2,4,2,4,5,3,4,2,3,4,2,3.25
20,45,57,59,59,5,5,5,5,3,5.25,4,4,4,2,4,2,4,4,2,4,4,2,4,4,4,2,4,4,2,4,2,4,2,4,4,4,2,4,4,2,3
21,19,66,34,95,6,5,5,1,7,4.75,3,4,3,3,2,4,3,5,1,2,4,2,4,2,3,3,3,4,2,2,4,3,3,4,3,4,2,4,5,1,2.85
22,85,86,86,51,6,7,4,2,6,5.25,4,2,5,1,4,2,2,4,2,2,4,2,2,2,4,2,2,4,2,4,2,4,2,2,4,4,2,2,4,2,2.15
23,61,100,58,32,7,6,5,1,7,5.75,2,2,4,2,4,2,1,5,1,1,5,1,2,1,2,4,2,3,3,2,4,4,2,5,4,3,3,2,4,2,2.3
25,27,27,29,71,4,4,3,3,5,3.75,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3,2,4,2,4,5,4,3,3,4,3,3,3.35
26,45,61,45,77,6,5,5,3,5,5.5,4,2,3,3,4,2,3,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.85
27,72,100,84,31,7,7,6,2,6,6.5,3,2,3,3,4,2,2,5,1,3,4,2,1,2,2,4,2,4,2,5,1,5,1,1,1,5,1,2,5,1,1.85
28,60,60,77,79,4,3,5,5,3,3.75,4,2,4,2,3,3,4,4,2,3,4,2,4,4,4,2,4,4,2,3,3,3,3,4,2,3,3,3,3,3,2.95
29,50,61,31,73,5,5,4,2,6,4.25,2,2,4,2,1,5,4,4,2,4,4,2,5,3,3,3,5,4,2,3,3,3,3,1,1,3,3,3,4,2,2.85
30,34,34,36,65,5,6,6,3,5,5.25,4,3,3,3,2,4,4,4,2,4,4,2,4,4,4,2,4,3,3,3,3,4,2,4,3,2,4,3,3,3,3.25
31,38,69,64,59,5,4,4,5,3,4.333333333,2,3,3,3,4,2,2,2,4,3,4,2,4,3,3,3,3,5,1,3,3,3,3,4,3,2,4,4,2,4,3
32,77,100,90,81,7,7,5,4,4,6.333333333,4,3,4,2,5,1,4,4,2,4,4,2,2,2,4,2,5,4,2,4,2,4,2,4,,4,2,3,5,1,2.578947368
33,33,21,35,64,5,7,5,4,4,5.666666667,4,3,4,2,3,3,4,5,1,4,3,3,4,4,3,3,3,4,2,4,2,4,2,3,4,3,3,2,3,3,2.95
34,76,79,71,72,6,6,6,5,3,6,4,4,3,3,4,2,3,3,3,4,3,3,3,4,4,2,4,4,2,5,1,4,2,4,5,4,2,4,4,2,3.05
35,66,86,54,43,6,6,6,2,6,6,2,4,4,2,5,1,4,3,3,2,3,3,3,2,4,2,2,5,1,4,2,4,2,3,2,4,2,2,4,2,2.3
36,25,59,23,93,6,7,5,4,4,6,4,3,,,1,5,,3,3,2,3,3,4,3,2,4,4,3,3,2,4,2,4,4,3,3,3,,3,3,3.470588235
37,91,93,96,51,7,7,7,1,7,7,4,3,4,2,4,2,5,4,2,3,4,2,2,2,5,1,3,4,2,2,4,3,3,3,2,3,3,3,2,4,2.75
38,79,76,39,31,7,7,4,3,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39,63,61,32,78,6,6,5,2,6,5.666666667,4,3,1,5,1,5,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.15
40,70,31,21,87,6,5,4,5,3,5,4,4,2,4,3,3,2,4,2,4,2,4,4,2,4,2,2,2,4,,,4,2,2,4,4,2,4,2,4,3.105263158
41,57,54,40,69,6,5,4,4,4,5,2,4,3,3,3,3,3,3,3,2,3,3,4,4,3,3,2,4,2,2,4,3,3,4,3,3,3,4,2,4,3.15
42,67,66,62,79,5,5,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,83,83,54,17,5,6,4,4,4,5,2,1,2,4,4,2,4,4,2,2,3,3,3,3,5,1,3,5,1,4,2,4,2,3,2,3,3,3,5,1,2.35
44,79,85,68,88,6,6,6,2,6,6,4,4,3,3,2,4,1,5,1,4,4,2,4,2,2,4,3,4,2,4,2,4,2,2,2,4,2,4,2,4,2.8
45,71,77,62,39,7,5,5,2,6,5.666666667,2,1,3,3,4,2,2,5,1,3,4,2,2,1,1,5,2,4,2,4,2,5,1,4,4,5,1,1,5,1,2.1
46,40,61,68,55,4,4,4,5,3,4,4,2,3,3,1,5,4,3,3,3,2,4,2,4,3,3,2,3,3,4,2,3,3,2,1,3,3,3,4,2,2.9
47,38,57,0,40,5,4,4,5,3,4.333333333,3,2,1,5,4,2,2,5,1,3,1,5,3,3,3,3,1,5,1,5,1,2,4,5,4,4,2,4,5,1,2.75
48,61,65,28,79,4,3,5,4,4,4,4,4,3,3,1,5,1,1,5,3,2,4,4,4,5,1,4,4,2,2,4,3,3,4,4,3,3,4,4,2,3.4