record_id,redcap_survey_identifier,correlation_project_timestamp,consent,ggpa1,ggpa2,ggpa3,ggpa4,gpaAVE,burnout1,burnout2,burnout3,burnout4,burnout5,burnout6,burnout7,Burnout AVE,dep1,dep2,dep3,dep4,dep5,dep6,dep7,depAVE,personal1,personal2,personal3,personal4,personal5,personal6,personal7,personalAVE,correlation_project_complete
2,,2025-10-17 18:07:47,1,2,3,4,4,3.25,3,5,4,4,3,4,5,4,5,1,6,6,3,6,3,4.28571428571429,4,4,5,4,5,6,5,4.71428571428571,2
3,,2025-10-17 18:14:44,1,4,2,3,3,3,4,3,4,5,4,2,2,3.42857142857143,1,1,3,3,4,3,1,2.28571428571429,2,1,2,2,5,4,1,2.42857142857143,2
4,,2025-10-17 18:15:55,1,1,1,4,5,2.75,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,1,2,7,7,1,3.42857142857143,2
5,,2025-10-17 18:16:08,1,4,4,2,2,3,5,4,5,4,3,5,1,3.85714285714286,1,5,5,5,3,2,1,3.14285714285714,7,6,6,7,7,7,5,6.42857142857143,2
7,,2025-10-17 18:17:02,1,3,5,2,3,3.25,4,3,6,4,2,2,4,3.57142857142857,1,4,3,4,2,6,1,3,7,6,7,6,4,7,3,5.71428571428571,2
8,,2025-10-17 18:16:11,1,2,2,3,4,2.75,3,7,6,7,5,7,5,5.71428571428571,2,2,7,5,3,6,2,3.85714285714286,4,6,5,6,6,5,1,4.71428571428571,2
9,,2025-10-17 18:22:10,1,3,4,3,2,3,4,5,4,5,4,4,3,4.14285714285714,2,4,4,2,7,4,4,3.85714285714286,5,6,5,4,3,5,4,4.57142857142857,2
10,,2025-10-17 18:18:54,1,2,4,4,4,3.5,7,7,7,6,7,4,7,6.42857142857143,1,2,5,1,2,2,3,2.28571428571429,3,1,2,6,2,2,1,2.42857142857143,2
11,,2025-10-17 18:20:46,1,3,4,4,4,3.75,6,3,5,6,5,1,1,3.85714285714286,1,3,6,1,2,4,1,2.57142857142857,6,1,6,5,5,6,5,4.85714285714286,2
12,,2025-10-17 18:19:25,1,2,2,3,4,2.75,7,7,7,7,7,7,4,6.57142857142857,2,3,7,7,4,1,1,3.57142857142857,3,1,3,2,1,7,1,2.57142857142857,2
14,,2025-10-17 18:19:33,1,3,2,5,5,3.75,7,7,7,5,6,6,7,6.42857142857143,6,3,7,6,6,2,2,4.57142857142857,6,4,4,4,3,5,2,4,2
15,,2025-10-17 18:21:58,1,2,1,3,2,2,6,6,6,7,7,6,6,6.28571428571429,6,7,7,7,7,6,6,6.57142857142857,3,4,3,3,3,3,3,3.14285714285714,2
16,,2025-10-17 18:21:47,1,4,4,2,2,3,4,3,5,5,3,3,2,3.57142857142857,1,2,3,1,1,2,1,1.57142857142857,7,6,6,7,6,6,5,6.14285714285714,2
17,,2025-10-17 18:37:12,1,2,4,2,3,2.75,3,6,6,4,4,4,2,4.14285714285714,1,4,5,5,4,5,1,3.57142857142857,4,5,6,3,2,4,2,3.71428571428571,2
18,,2025-10-17 18:24:26,1,2,2,4,4,3,6,7,7,7,6,5,6,6.28571428571429,6,5,6,7,5,6,6,5.85714285714286,4,3,5,1,6,6,6,4.42857142857143,2
19,,2025-10-17 18:32:58,1,4,3,3,3,3.25,4,6,6,4,4,3,1,4,3,1,7,5,1,1,1,2.71428571428571,6,5,7,6,6,7,6,6.14285714285714,2
20,,2025-10-17 18:37:41,1,3,4,3,2,3,5,6,5,6,5,1,4,4.57142857142857,1,1,5,1,1,5,1,2.14285714285714,7,6,7,7,5,7,6,6.42857142857143,2
21,,2025-10-17 19:18:14,1,2,2,2,3,2.25,6,6,6,6,6,1,4,5,3,4,5,1,1,1,1,2.28571428571429,6,7,4,4,3,5,3,4.57142857142857,2
22,,2025-10-18 12:07:28,1,4,5,2,3,3.5,6,6,6,6,6,2,1,4.71428571428571,1,1,1,1,1,1,1,1,6,6,6,7,7,7,3,6,2
23,,2025-10-18 13:46:25,1,4,5,2,2,3.25,3,3,1,4,4,3,1,2.71428571428571,3,1,2,2,1,1,1,1.57142857142857,6,6,7,7,6,7,6,6.42857142857143,2
24,,2025-10-18 12:13:09,1,2,1,1,1,1.25,2,2,5,6,6,1,6,4,7,2,7,7,2,7,7,5.57142857142857,2,3,4,1,3,7,1,3,2
25,,2025-10-18 12:13:45,1,4,4,5,4,4.25,6,5,7,4,4,1,4,4.42857142857143,4,4,3,5,5,1,2,3.42857142857143,3,3,5,4,4,5,2,3.71428571428571,2
26,,2025-10-18 12:19:00,1,4,5,2,3,3.5,2,3,6,2,3,2,2,2.85714285714286,2,5,4,1,4,1,1,2.57142857142857,4,5,6,7,6,7,6,5.85714285714286,2
27,,2025-10-18 12:25:29,1,4,4,2,2,3,7,7,7,6,7,6,7,6.71428571428571,1,6,5,7,6,1,1,3.85714285714286,2,1,2,1,7,4,2,2.71428571428571,2
28,,2025-10-18 12:26:38,1,3,4,2,3,3,6,5,5,4,5,3,4,4.57142857142857,4,1,3,2,1,5,4,2.85714285714286,4,3,6,5,4,7,2,4.42857142857143,2
29,,2025-10-18 12:30:15,1,2,2,2,2,2,4,3,4,4,3,3,3,3.42857142857143,2,2,3,3,3,3,4,2.85714285714286,4,4,3,3,3,4,3,3.42857142857143,2
30,,2025-10-18 12:36:41,1,3,3,2,2,2.5,5,4,5,6,6,2,1,4.14285714285714,1,2,4,3,2,1,1,2,4,4,5,4,4,5,3,4.14285714285714,2
31,,2025-10-18 12:31:35,1,5,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,7,4,6.42857142857143,2
32,,2025-10-18 12:43:42,1,4,3,3,2,3,4,3,6,5,3,2,2,3.57142857142857,1,3,2,3,3,4,2,2.57142857142857,3,2,4,5,4,4,4,3.71428571428571,2
33,,2025-10-18 12:52:02,1,4,3,2,2,2.75,2,3,2,2,2,5,1,2.42857142857143,2,3,4,3,4,4,1,3,6,4,7,7,6,7,5,6,2
34,,2025-10-18 13:16:11,1,1,3,2,4,2.5,3,1,6,3,2,6,1,3.14285714285714,3,3,2,7,5,5,1,3.71428571428571,4,4,7,3,3,6,3,4.28571428571429,2
36,,2025-10-18 13:40:54,1,4,4,2,2,3,6,7,5,5,5,2,1,4.42857142857143,1,1,2,3,2,1,1,1.57142857142857,7,6,6,7,6,7,6,6.42857142857143,2
37,,2025-10-18 15:11:13,1,3,3,2,2,2.5,4,5,6,5,5,6,4,5,6,5,3,3,2,2,2,3.28571428571429,4,3,4,4,4,4,3,3.71428571428571,2
38,,2025-10-18 15:13:35,1,5,4,2,4,3.75,6,6,7,6,6,6,7,6.28571428571429,2,6,6,4,3,4,2,3.85714285714286,7,2,7,6,6,7,1,5.14285714285714,2
39,,2025-10-18 15:44:49,1,4,2,3,3,3,5,6,6,5,3,6,3,4.85714285714286,1,2,5,5,5,7,1,3.71428571428571,6,6,6,5,5,6,5,5.57142857142857,2
40,,2025-10-18 16:46:22,1,3,4,2,1,2.5,3,5,6,4,4,1,1,3.42857142857143,2,1,1,7,1,1,1,2,,6,6,6,6,6,2,5.33333333333333,2
41,,2025-10-18 17:30:31,1,4,2,4,2,3,6,7,7,5,6,7,5,6.14285714285714,1,4,3,1,1,5,1,2.28571428571429,6,4,6,5,6,7,5,5.57142857142857,2
42,,2025-10-18 17:30:28,1,3,4,3,2,3,3,3,5,2,3,1,1,2.57142857142857,1,2,1,3,1,2,1,1.57142857142857,3,5,7,5,6,6,5,5.28571428571429,2
43,,2025-10-18 17:31:10,1,4,4,4,4,4,5,6,7,2,4,2,1,3.85714285714286,2,5,4,5,2,1,1,2.85714285714286,2,1,7,3,6,7,6,4.57142857142857,2
44,,2025-10-18 18:04:37,1,2,4,4,4,3.5,6,6,6,7,7,3,4,5.57142857142857,5,7,4,5,4,6,7,5.42857142857143,4,1,3,3,6,5,6,4,2
45,,2025-10-22 12:00:49,1,4,4,2,2,3,5,4,5,4,6,6,7,5.28571428571429,6,1,3,5,5,6,3,4.14285714285714,6,2,6,5,6,7,2,4.85714285714286,2