ID,Location,DT,Clothing ,Group,Emotion,phone
1,CL,D1,D,1,N,N
2,CL,D1,D,1,N,N
3,CL,D1,L,1,N,N
4,CL,D1,L,1,N,N
5,CL,D1,L,1,N,Y
6,CL,D1,D,1,H,Y
7,CL,D1,D,1,N,Y
8,CL,D1,L,1,N,Y
9,CL,D1,D,3,N,N
10,CL,D1,L,1,N,N
11,CL,D1,D,1,N,Y
12,CL,D1,L,1,N,N
13,CL,D1,D,1,N,N
14,CL,D1,D,1,N,N
15,CL,D1,L,1,N,N
16,CL,D1,D,1,H,N
17,CL,D1,L,1,H,Y
18,CL,D1,L,1,H,N
19,CL,D1,D,1,H,N
20,CL,D1,D,1,N,Y
21,DH,D1,L,1,N,N
22,DH,D1,D,1,N,Y
23,DH,D1,L,1,N,Y
24,DH,D1,L,1,N,Y
25,DH,D1,D,1,N,Y
26,DH,D1,L,1,N,Y
27,DH,D1,L,1,N,Y
28,DH,D1,D,1,N,Y
29,DH,D1,D,1,N,Y
30,DH,D1,L,3,H,N
31,DH,D1,L,3,N,N
32,DH,D1,L,1,N,N
33,DH,D1,D,1,N,Y
34,DH,D1,L,1,N,N
35,DH,D1,D,1,N,Y
36,DH,D1,L,1,N,N
37,DH,D1,D,3,N,Y
38,DH,D1,D,1,H,N
39,DH,D1,D,1,H,N
40,DH,D1,L,1,N,Y
41,CL,D2,D,1,N,N
42,CL,D2,D,1,H,N
43,CL,D2,D,1,N,N
44,CL,D2,D,1,N,Y
45,CL,D2,L,1,N,N
46,CL,D2,D,1,H,Y
47,CL,D2,L,1,H,Y
48,CL,D2,L,1,H,N
49,CL,D2,L,1,N,N
50,CL,D2,D,1,N,N
51,CL,D2,D,1,N,Y
52,CL,D2,D,1,N,Y
53,CL,D2,D,1,H,Y
54,CL,D2,D,1,N,Y
55,CL,D2,L,1,H,N
56,CL,D2,L,1,N,N
57,CL,D2,D,1,N,N
58,CL,D2,L,1,N,N
59,CL,D2,D,1,N,N
60,CL,D2,D,1,H,Y
61,DH,D2,D,1,N,N
62,DH,D2,L,3,N,N
63,DH,D2,L,1,H,N
64,DH,D2,D,3,N,Y
65,DH,D2,D,1,H,N
66,DH,D2,L,1,N,Y
67,DH,D2,D,1,N,N
68,DH,D2,D,1,N,Y
69,DH,D2,L,1,H,N
70,DH,D2,L,1,N,N
71,DH,D2,D,1,N,Y
72,DH,D2,D,1,N,N
73,DH,D2,L,1,N,Y
74,DH,D2,D,3,H,N
75,DH,D2,L,1,N,Y
76,DH,D2,D,1,H,Y
77,DH,D2,D,1,N,Y
78,DH,D2,D,3,N,N
79,DH,D2,L,1,N,Y
80,DH,D2,D,1,N,N